",Crop,Element,Year,Production,Rainfall,Temperature"
"79,Tea leaves,Production,2024,2687200.0,57.32475000000001,21.465541922290388"
"80,Rice,Production,2015,116473.0,17.602,22.659009393680616"
"81,Rice,Production,2016,101510.0,10.23775,23.09421112372304"
"82,Rice,Production,2017,81198.0,8.985,22.15127008812857"
"83,Rice,Production,2018,112605.0,13.98275,21.30985086342229"
"84,Rice,Production,2019,160585.0,19.23125,21.357889641819945"
"85,Rice,Production,2020,180890.0,48.359750000000005,20.993829996718084"
"86,Rice,Production,2021,186000.0,37.79475,20.76988808227465"
"87,Rice,Production,2022,192299.0,39.00449999999999,20.70435411543469"
"88,Rice,Production,2023,229064.0,52.80125,21.23746214852199"
"89,Rice,Production,2024,282152.0,57.32475000000001,21.465541922290388"
"90,""Coffee, green"",Production,2015,42000.0,17.602,22.659009393680616"
"91,""Coffee, green"",Production,2016,46100.0,10.23775,23.09421112372304"
"92,""Coffee, green"",Production,2017,38620.0,8.985,22.15127008812857"
"93,""Coffee, green"",Production,2018,41375.0,13.98275,21.30985086342229"
"94,""Coffee, green"",Production,2019,44500.0,19.23125,21.357889641819945"
"95,""Coffee, green"",Production,2020,36900.0,48.359750000000005,20.993829996718084"
"96,""Coffee, green"",Production,2021,34500.0,37.79475,20.76988808227465"
"97,""Coffee, green"",Production,2022,51900.0,39.00449999999999,20.70435411543469"
"98,""Coffee, green"",Production,2023,48700.0,52.80125,21.23746214852199"
"99,""Coffee, green"",Production,2024,49500.0,57.32475000000001,21.465541922290388"
"100,Tomatoes,Production,2015,402513.0,17.602,22.659009393680616"
"101,Tomatoes,Production,2016,410033.0,10.23775,23.09421112372304"
"102,Tomatoes,Production,2017,507141.81,8.985,22.15127008812857"
"103,Tomatoes,Production,2018,599457.54,13.98275,21.30985086342229"
"104,Tomatoes,Production,2019,567940.82,19.23125,21.357889641819945"
"105,Tomatoes,Production,2020,1046181.22,48.359750000000005,20.993829996718084"
"106,Tomatoes,Production,2021,702205.1,37.79475,20.76988808227465"
"107,Tomatoes,Production,2022,616600.0,39.00449999999999,20.70435411543469"
"108,Tomatoes,Production,2023,569818.0,52.80125,21.23746214852199"
"109,Tomatoes,Production,2024,510902.0,57.32475000000001,21.465541922290388"
"110,Pineapples,Production,2015,202046.21,17.602,22.659009393680616"
"111,Pineapples,Production,2016,224189.7,10.23775,23.09421112372304"
"112,Pineapples,Production,2017,399971.83,8.985,22.15127008812857"
"113,Pineapples,Production,2018,349430.73,13.98275,21.30985086342229"
"114,Pineapples,Production,2019,335353.36,19.23125,21.357889641819945"
"115,Pineapples,Production,2020,330330.6,48.359750000000005,20.993829996718084"
"116,Pineapples,Production,2021,282655.48,37.79475,20.76988808227465"
"117,Pineapples,Production,2022,252700.0,39.00449999999999,20.70435411543469"
"118,Pineapples,Production,2023,232078.0,52.80125,21.23746214852199"
"119,Pineapples,Production,2024,196039.0,57.32475000000001,21.465541922290388"
"120,Bananas,Production,2015,1290150.0,17.602,22.659009393680616"
"121,Bananas,Production,2016,1288588.0,10.23775,23.09421112372304"
"122,Bananas,Production,2017,1434161.99,8.985,22.15127008812857"
"123,Bananas,Production,2018,1414175.8,13.98275,21.30985086342229"
"124,Bananas,Production,2019,1715770.05,19.23125,21.357889641819945"
"125,Bananas,Production,2020,1856658.7,48.359750000000005,20.993829996718084"
"126,Bananas,Production,2021,1985254.49,37.79475,20.76988808227465"
"127,Bananas,Production,2022,2052600.0,39.00449999999999,20.70435411543469"
"128,Bananas,Production,2023,1778804.0,52.80125,21.23746214852199"
"129,Bananas,Production,2024,2061285.0,57.32475000000001,21.465541922290388"
"130,Avocados,Production,2015,136420.0,17.602,22.659009393680616"
"131,Avocados,Production,2016,176045.0,10.23775,23.09421112372304"
"132,Avocados,Production,2017,217688.11,8.985,22.15127008812857"
"133,Avocados,Production,2018,233932.56,13.98275,21.30985086342229"
"134,Avocados,Production,2019,264031.53,19.23125,21.357889641819945"
"135,Avocados,Production,2020,322556.22,48.359750000000005,20.993829996718084"
"136,Avocados,Production,2021,416802.72,37.79475,20.76988808227465"
"137,Avocados,Production,2022,441600.0,39.00449999999999,20.70435411543469"
"138,Avocados,Production,2023,598366.0,52.80125,21.23746214852199"
"139,Avocados,Production,2024,585000.0,57.32475000000001,21.465541922290388"
"140,""Mangoes, guavas and mangosteens"",Production,2015,682778.5,17.602,22.659009393680616"
"141,""Mangoes, guavas and mangosteens"",Production,2016,801653.0,10.23775,23.09421112372304"
"142,""Mangoes, guavas and mangosteens"",Production,2017,564009.58,8.985,22.15127008812857"
"143,""Mangoes, guavas and mangosteens"",Production,2018,676376.59,13.98275,21.30985086342229"
"144,""Mangoes, guavas and mangosteens"",Production,2019,806065.77,19.23125,21.357889641819945"
"145,""Mangoes, guavas and mangosteens"",Production,2020,819276.06,48.359750000000005,20.993829996718084"
"146,""Mangoes, guavas and mangosteens"",Production,2021,752152.87,37.79475,20.76988808227465"
"147,""Mangoes, guavas and mangosteens"",Production,2022,758372.15,39.00449999999999,20.70435411543469"
"148,""Mangoes, guavas and mangosteens"",Production,2023,788237.0,52.80125,21.23746214852199"
"149,""Mangoes, guavas and mangosteens"",Production,2024,782953.0,57.32475000000001,21.465541922290388"
"150,Carrots and turnips,Production,2015,112027.0,17.602,22.659009393680616"
"151,Carrots and turnips,Production,2016,110946.0,10.23775,23.09421112372304"
"152,Carrots and turnips,Production,2017,199584.35,8.985,22.15127008812857"
"153,Carrots and turnips,Production,2018,239542.42,13.98275,21.30985086342229"
"154,Carrots and turnips,Production,2019,329024.62,19.23125,21.357889641819945"
"155,Carrots and turnips,Production,2020,87823.0,48.359750000000005,20.993829996718084"
"156,Carrots and turnips,Production,2021,97337.0,37.79475,20.76988808227465"
"157,Carrots and turnips,Production,2022,93964.76,39.00449999999999,20.70435411543469"
"158,Carrots and turnips,Production,2023,92202.0,52.80125,21.23746214852199"
"159,Carrots and turnips,Production,2024,81871.0,57.32475000000001,21.465541922290388"
"160,Cabbages,Production,2015,733817.0,17.602,22.659009393680616"
"161,Cabbages,Production,2016,775994.0,10.23775,23.09421112372304"
"162,Cabbages,Production,2017,764480.23,8.985,22.15127008812857"
"163,Cabbages,Production,2018,674253.14,13.98275,21.30985086342229"
"164,Cabbages,Production,2019,829331.36,19.23125,21.357889641819945"
"165,Cabbages,Production,2020,943609.5,48.359750000000005,20.993829996718084"
"166,Cabbages,Production,2021,1099881.85,37.79475,20.76988808227465"
"167,Cabbages,Production,2022,1382100.0,39.00449999999999,20.70435411543469"
"168,Cabbages,Production,2023,1004100.0,52.80125,21.23746214852199"
"169,Cabbages,Production,2024,904452.0,57.32475000000001,21.465541922290388"
"170,Oranges,Production,2015,107121.0,17.602,22.659009393680616"
"171,Oranges,Production,2016,85233.0,10.23775,23.09421112372304"
"172,Oranges,Production,2017,72437.23,8.985,22.15127008812857"
"173,Oranges,Production,2018,71617.23,13.98275,21.30985086342229"
"174,Oranges,Production,2019,73484.88,19.23125,21.357889641819945"
"175,Oranges,Production,2020,145444.78,48.359750000000005,20.993829996718084"
"176,Oranges,Production,2021,120867.33,37.79475,20.76988808227465"
"177,Oranges,Production,2022,130319.09,39.00449999999999,20.70435411543469"
"178,Oranges,Production,2023,170366.0,52.80125,21.23746214852199"
"179,Oranges,Production,2024,131282.0,57.32475000000001,21.465541922290388"
"180,""Onions and shallots, dry (excluding dehydrated)"",Production,2015,80007.64,17.602,22.659009393680616"
"181,""Onions and shallots, dry (excluding dehydrated)"",Production,2016,52019.24,10.23775,23.09421112372304"
"182,""Onions and shallots, dry (excluding dehydrated)"",Production,2017,19212.05,8.985,22.15127008812857"
"183,""Onions and shallots, dry (excluding dehydrated)"",Production,2018,34945.15,13.98275,21.30985086342229"
"184,""Onions and shallots, dry (excluding dehydrated)"",Production,2019,116534.32,19.23125,21.357889641819945"
"185,""Onions and shallots, dry (excluding dehydrated)"",Production,2020,196966.91,48.359750000000005,20.993829996718084"
"186,""Onions and shallots, dry (excluding dehydrated)"",Production,2021,163971.14,37.79475,20.76988808227465"
"187,""Onions and shallots, dry (excluding dehydrated)"",Production,2022,158400.0,39.00449999999999,20.70435411543469"
"188,""Onions and shallots, dry (excluding dehydrated)"",Production,2023,170113.0,52.80125,21.23746214852199"
"189,""Onions and shallots, dry (excluding dehydrated)"",Production,2024,186851.0,57.32475000000001,21.465541922290388"
